Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1776467120,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1776467121,100,,Aggregated,0.000000,0.000000,130,150,380,480,490,500,510,540,560,560,560,387,0,130.0,220.75991732193498,106.36370815336704,555.5232078768313,122.87596899224806
1776467122,100,,Aggregated,0.000000,0.000000,120,140,150,160,210,490,500,510,550,560,560,1135,0,120.0,161.78600755315028,106.12754197791219,555.5232078768313,122.90044052863436
1776467123,100,,Aggregated,4.000000,0.000000,120,130,150,150,190,480,490,500,550,560,560,1845,0,120.0,150.79362621230544,106.12754197791219,555.5232078768313,122.89918699186993
1776467124,100,,Aggregated,345.000000,0.000000,130,140,150,160,200,260,490,500,540,560,560,2469,0,130.0,150.66610857625196,106.12754197791219,555.5232078768313,122.89590927501013
1776467125,100,,Aggregated,479.000000,0.000000,130,150,170,180,200,490,510,520,540,560,560,2866,0,130.0,163.92977448011015,106.12754197791219,555.5232078768313,122.89323098394975
1776467126,100,,Aggregated,531.000000,0.000000,130,150,170,190,460,500,530,530,910,910,910,3081,0,130.0,182.28922012359985,106.12754197791219,912.7442911267281,122.89354105809802
1776467127,100,,Aggregated,546.600000,0.000000,130,160,180,200,450,500,530,530,910,910,910,3551,0,130.0,187.6593309152222,106.12754197791219,912.7442911267281,122.89383272317657
1776467128,100,,Aggregated,488.000000,0.000000,130,160,190,210,380,500,530,530,910,910,910,4002,0,130.0,189.35322033523906,106.12754197791219,912.7442911267281,122.89555222388806
1776467129,100,,Aggregated,461.857143,0.000000,130,170,190,210,350,500,530,530,910,910,910,4597,0,130.0,185.64261807341916,106.12754197791219,912.7442911267281,122.8960191429193
1776467130,100,,Aggregated,472.500000,0.000000,140,170,180,200,330,490,520,530,910,910,910,5195,0,140.0,182.42298784783188,106.12754197791219,912.7442911267281,122.89566891241579
1776467131,100,,Aggregated,473.111111,0.000000,140,170,180,190,300,480,520,530,910,910,910,5780,0,140.0,179.902574178202,106.12754197791219,912.7442911267281,122.89186851211073
1776467132,100,,Aggregated,479.600000,0.000000,140,170,180,190,280,480,520,530,900,910,910,6293,0,140.0,178.06081281284227,106.12754197791219,912.7442911267281,122.89035436198951
1776467133,100,,Aggregated,539.000000,0.000000,150,170,180,190,270,450,520,530,900,910,910,6877,0,150.0,176.89582987650428,106.12754197791219,912.7442911267281,122.889341282536
1776467134,100,,Aggregated,530.200000,0.000000,150,170,180,180,240,380,510,530,900,910,910,7476,0,150.0,175.18676742703298,106.12754197791219,912.7442911267281,122.88937934724451
1776467135,100,,Aggregated,505.900000,0.000000,150,170,180,180,230,380,500,530,900,910,910,8057,0,150.0,174.1585916271638,106.12754197791219,912.7442911267281,122.88879235447438
1776467136,100,,Aggregated,495.300000,0.000000,150,170,180,180,230,370,500,530,900,910,910,8574,0,150.0,173.73554070087718,106.12754197791219,912.7442911267281,122.88803358992303
1776467137,100,,Aggregated,494.300000,0.000000,160,170,180,180,220,350,500,530,900,910,910,9166,0,160.0,172.9409062613146,106.12754197791219,912.7442911267281,122.88991926685577
1776467138,100,,Aggregated,527.700000,0.000000,160,170,180,180,210,340,500,520,900,910,910,9766,0,160.0,172.0443308331872,106.12754197791219,912.7442911267281,122.89125537579356
1776467139,100,,Aggregated,553.000000,0.000000,160,170,180,180,210,330,500,520,900,910,910,10359,0,160.0,171.2096009467704,106.12754197791219,912.7442911267281,122.89159185249541
1776467140,100,,Aggregated,558.600000,0.000000,160,170,180,180,200,310,500,520,900,910,910,10863,0,160.0,170.41670319977982,106.12754197791219,912.7442911267281,122.89119027892848
1776467141,100,,Aggregated,570.800000,0.000000,160,170,180,180,200,300,500,520,900,910,910,11453,0,160.0,170.14503904889028,106.12754197791219,912.7442911267281,122.89138217061031
1776467142,100,,Aggregated,571.000000,0.000000,160,170,180,180,200,300,490,520,900,910,910,12053,0,160.0,169.4765698388704,106.12754197791219,912.7442911267281,122.89106446527835
1776467143,100,,Aggregated,566.900000,0.000000,160,170,180,180,200,290,490,520,900,910,910,12653,0,160.0,168.91516677835864,106.12754197791219,912.7442911267281,122.89093495613689
1776467144,100,,Aggregated,566.100000,0.000000,160,170,180,180,200,280,490,520,900,910,910,13237,0,160.0,168.4009987816276,106.12754197791219,912.7442911267281,122.89091183802977
1776467145,100,,Aggregated,575.300000,0.000000,160,170,180,180,200,280,480,520,900,910,910,13747,0,160.0,168.15027342388757,106.12754197791219,912.7442911267281,122.89081254091802
