Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/transaction [risk],16045,0,160.0,167.0571316186984,106.12754197791219,912.7442911267281,122.89043315674665,551.7942739428807,0.0,160,170,180,180,200,240,480,500,890,910,910
,Aggregated,16045,0,160.0,167.0571316186984,106.12754197791219,912.7442911267281,122.89043315674665,551.7942739428807,0.0,160,170,180,180,200,240,480,500,890,910,910
