Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1776516238,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1776516239,100,,Aggregated,0.000000,0.000000,840,840,920,920,920,920,920,920,920,920,920,4,0,840.0,856.5179167781025,834.4410841818899,919.4941660389304,123.0
1776516240,100,,Aggregated,0.000000,0.000000,1600,1600,1600,1700,1800,1800,1800,1900,1900,1900,1900,54,0,1600.0,1536.3407360812373,834.4410841818899,1918.9907910767943,122.9074074074074
1776516241,100,,Aggregated,0.000000,0.000000,1500,1800,2100,2100,2200,2200,2200,2300,2300,2300,2300,157,0,1500.0,1453.7079129709157,493.1934999767691,2251.185124972835,122.87261146496816
1776516242,100,,Aggregated,4.000000,0.000000,1500,1600,1800,2100,2100,2200,2200,2300,2300,2300,2300,195,0,1500.0,1428.401521820193,493.1934999767691,2251.185124972835,122.86153846153846
1776516243,100,,Aggregated,42.333333,0.000000,1500,1800,2000,2100,2100,2200,2300,2300,2400,2400,2400,314,0,1500.0,1469.3736684120076,493.1934999767691,2434.6219170838594,122.86942675159236
1776516244,100,,Aggregated,42.500000,0.000000,1300,1600,1900,2000,2100,2200,2300,2300,2400,2400,2400,375,0,1300.0,1384.2508434777458,493.1934999767691,2434.6219170838594,122.872
1776516245,100,,Aggregated,44.800000,0.000000,1400,1600,1800,1900,2100,2200,2300,2300,2400,2400,2400,443,0,1400.0,1398.9624568402062,493.1934999767691,2434.6219170838594,122.88713318284424
1776516246,100,,Aggregated,56.000000,0.000000,1300,1600,1700,1800,2100,2200,2200,2300,2400,2400,2400,543,0,1300.0,1344.0514364713738,493.1934999767691,2434.6219170838594,122.88213627992633
1776516247,100,,Aggregated,56.000000,0.000000,1300,1600,1700,1800,2100,2100,2200,2300,2400,2400,2400,584,0,1300.0,1350.4267732671794,493.1934999767691,2434.6219170838594,122.88356164383562
1776516248,100,,Aggregated,61.500000,0.000000,1300,1600,1700,1800,2100,2100,2200,2300,2400,2400,2400,699,0,1300.0,1343.6352957319202,327.7115421369672,2434.6219170838594,122.87267525035766
1776516249,100,,Aggregated,60.666667,0.000000,1300,1600,1700,1800,2000,2100,2200,2300,2400,2400,2400,754,0,1300.0,1339.036093837957,327.7115421369672,2434.6219170838594,122.87400530503979
1776516250,100,,Aggregated,62.300000,0.000000,1300,1600,1700,1800,2000,2100,2200,2300,2400,2400,2400,846,0,1300.0,1346.3169774458904,327.7115421369672,2434.6219170838594,122.87706855791963
1776516251,100,,Aggregated,70.700000,0.000000,1300,1500,1700,1800,2000,2100,2200,2300,2400,2400,2400,931,0,1300.0,1319.4253184746603,327.7115421369672,2434.6219170838594,122.88292158968851
1776516252,100,,Aggregated,76.300000,0.000000,1300,1500,1600,1700,1900,2100,2200,2200,2400,2400,2400,1016,0,1300.0,1313.9630707428153,327.7115421369672,2434.6219170838594,122.87893700787401
1776516253,100,,Aggregated,75.900000,0.000000,1200,1400,1600,1700,1900,2100,2200,2200,2400,2400,2400,1132,0,1200.0,1284.370960992088,327.7115421369672,2434.6219170838594,122.88250883392226
1776516254,100,,Aggregated,78.100000,0.000000,1200,1400,1600,1600,1900,2100,2200,2200,2400,2400,2400,1237,0,1200.0,1252.74184947399,327.7115421369672,2434.6219170838594,122.88278092158448
1776516255,100,,Aggregated,82.600000,0.000000,1200,1400,1500,1600,1900,2100,2200,2200,2400,2400,2400,1324,0,1200.0,1241.489093250059,327.7115421369672,2434.6219170838594,122.88670694864048
1776516256,100,,Aggregated,82.200000,0.000000,1200,1400,1500,1600,1900,2100,2200,2200,2400,2400,2400,1433,0,1200.0,1232.4515647878475,327.7115421369672,2434.6219170838594,122.88834612700629
1776516257,100,,Aggregated,86.700000,0.000000,1200,1400,1500,1600,1900,2100,2100,2200,2400,2400,2400,1481,0,1200.0,1226.2276846523712,327.7115421369672,2434.6219170838594,122.89061444969614
1776516258,100,,Aggregated,84.500000,0.000000,1200,1400,1500,1600,1900,2000,2100,2200,2400,2400,2400,1542,0,1200.0,1236.7556964498117,327.7115421369672,2434.6219170838594,122.88651102464333
1776516259,100,,Aggregated,89.800000,0.000000,1200,1400,1500,1600,1900,2100,2200,2200,2400,2500,2500,1642,0,1200.0,1239.5900715414455,327.7115421369672,2516.605625161901,122.88794153471376
1776516260,100,,Aggregated,87.200000,0.000000,1200,1400,1500,1600,1900,2100,2200,2200,2400,2500,2500,1730,0,1200.0,1241.7336999335073,327.7115421369672,2516.605625161901,122.88554913294797
1776516261,100,,Aggregated,88.000000,0.000000,1200,1400,1500,1600,1900,2100,2200,2200,2400,2500,2500,1795,0,1200.0,1242.481166182973,327.7115421369672,2516.605625161901,122.88635097493037
1776516262,100,,Aggregated,88.700000,0.000000,1200,1400,1500,1600,1800,2000,2100,2200,2400,2500,2500,1893,0,1200.0,1235.5159031534965,327.7115421369672,2516.605625161901,122.88431061806656
1776516263,100,,Aggregated,84.600000,0.000000,1100,1300,1500,1600,1800,2000,2100,2200,2400,2500,2500,2026,0,1100.0,1209.7172655694064,327.7115421369672,2516.605625161901,122.88647581441263
