Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/transaction [risk],2435,0,1100.0,1155.3960679053066,285.5916249100119,2415.3044170234352,122.88172484599589,84.0566428377806,0.0,1100,1300,1400,1500,1800,1900,2000,2100,2300,2400,2400
,Aggregated,2435,0,1100.0,1155.3960679053066,285.5916249100119,2415.3044170234352,122.88172484599589,84.0566428377806,0.0,1100,1300,1400,1500,1800,1900,2000,2100,2300,2400,2400
