Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/transaction [WEST],2563,0,1100.0,1082.483973054251,254.81254199985415,2290.0524999713525,122.8821693328131,88.15552535525258,0.0,1100,1200,1300,1400,1600,1700,1800,1900,2200,2300,2300
,Aggregated,2563,0,1100.0,1082.483973054251,254.81254199985415,2290.0524999713525,122.8821693328131,88.15552535525258,0.0,1100,1200,1300,1400,1600,1700,1800,1900,2200,2300,2300
