Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/transaction [WEST],2337,0,1000.0,1142.4705090030268,271.1476660333574,3856.202624971047,122.90586221651691,84.07974043080485,0.0,1000,1200,1400,1500,1800,2200,2900,3200,3500,3900,3900
,Aggregated,2337,0,1000.0,1142.4705090030268,271.1476660333574,3856.202624971047,122.90586221651691,84.07974043080485,0.0,1000,1200,1400,1500,1800,2200,2900,3200,3500,3900,3900
