Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/transaction [WEST],2697,0,980.0,1021.0364867717832,262.98858399968594,2452.9413749696687,122.88246199480905,92.70196237809337,0.0,980,1200,1300,1300,1500,1700,1900,2100,2300,2500,2500
,Aggregated,2697,0,980.0,1021.0364867717832,262.98858399968594,2452.9413749696687,122.88246199480905,92.70196237809337,0.0,980,1200,1300,1300,1500,1700,1900,2100,2300,2500,2500
