Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/transaction,313846,0,130.0,317.04897677239103,103.81899983622134,5390.805666102096,122.88944896541616,327.52652420280674,0.0,130,160,180,190,280,1900,2800,3200,3900,4400,5400
,Aggregated,313846,0,130.0,317.04897677239103,103.81899983622134,5390.805666102096,122.88944896541616,327.52652420280674,0.0,130,160,180,190,280,1900,2800,3200,3900,4400,5400
