Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/transaction,297660,34811,280.0,4452.249173002584,80.58091602288187,60266.01300004404,122.7704427870725,283.68130067496355,33.176206940120125,280,3200,6200,8100,13000,22000,32000,36000,49000,60000,60000
,Aggregated,297660,34811,280.0,4452.249173002584,80.58091602288187,60266.01300004404,122.7704427870725,283.68130067496355,33.176206940120125,280,3200,6200,8100,13000,22000,32000,36000,49000,60000,60000
