Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/transaction [audit],9911,0,320.0,338.298735887239,106.12679203040898,1279.247875092551,122.88759963676723,120.42794827025826,0.0,320,380,410,430,460,550,650,800,1300,1300,1300
,Aggregated,9911,0,320.0,338.298735887239,106.12679203040898,1279.247875092551,122.88759963676723,120.42794827025826,0.0,320,380,410,430,460,550,650,800,1300,1300,1300
